URL,Title,Neighborhood,Price,Built Area,Land Area,Bedrooms,Bathrooms,Garage,Stratum,Year Built,Administration Fee,Property Type,Business Type,Status,Extraction Date,Error,Property_Category,Project_Units,Is_Project,Price_Label,Has_Individual_Units,Project_Parent,Project_Name,Is_Project_Unit
https://www.properati.com.co/detalle/14032-32-5171-94e4191d6abf-19990e4-9013-7553,Casa en venta en El Recreo,"El Recreo, Barranquilla, Atlántico",$ 595.000.000,300 m²,500 m²,3,1,N/A,N/A,Plazo,N/A,Casa,Venta,N/A,2025-11-21 22:04,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-167a-ef3bffcce57e-19a8aad-8737-73de,Casa en venta en Guarne,"Guarne, Antioquia",$ 1.470.000.000,279 m²,774 m²,3,3,1,5,2021,$ 310.000,Casa,Venta,N/A,2025-11-21 22:04,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-17ae-46bc15545731-194e12d-bb02-757a,Lote en venta en Girardot,"Girardot, Cundinamarca",$ 543.000.000,N/A,639 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:05,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-ca02-984a6900f1c8-6dd05fa5-ae51-4afb,Lote industrial en venta en Tocancipá,"Tocancipá, Cundinamarca",$ 3.400.000.000,1.200 m²,N/A,N/A,N/A,N/A,N/A,Plazo,$ 1.950.000,Lote industrial,Venta,N/A,2025-11-21 22:05,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-9688-2e3435bac205-19a8aab-8e8e-793e,Casa en venta en Retiro,"Retiro, Antioquia",$ 980.000.000,124 m²,133 m²,4,4,4,5,2000,$ 763.000,Casa,Venta,N/A,2025-11-21 22:05,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-67f-c83c71caf33a-eedb85-998b-4110,Lote en venta en Zipaquirá,"Zipaquirá, Cundinamarca",$ 900.000.000,N/A,962 m²,N/A,N/A,N/A,3,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:05,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-fdd7-c44c2c2543da-19a5eef-9161-7538,Local comercial en venta en Santa Rosa de Cabal,"Santa Rosa de Cabal, Risaralda",$ 2.700.000.000,260 m²,N/A,550,16,N/A,6,Plazo,N/A,Local comercial,Venta,N/A,2025-11-21 22:05,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-451b-373445007be7-19a0db0-ad8d-760e,Apartamento en venta,N/A,$ 215.000,63 m²,N/A,1,1,N/A,N/A,1991,N/A,Apartamento,Venta,N/A,2025-11-21 22:06,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-1f90-105d5531ced6-199926f-b8f4-713d,Casa en venta en El Recreo,"El Recreo, Barranquilla, Atlántico",$ 630.000.000,320 m²,400 m²,4,2,N/A,N/A,Plazo,N/A,Casa,Venta,N/A,2025-11-21 22:06,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-77af-3a779d703d3c-194e128-bb02-757a,Lote en venta en Malambo,"Malambo, Atlántico",$ 18.000.000.000,N/A,200.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:06,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-3573-c12500a2a636-191099a-8a88-78a9,Lote en venta en Bojacá,"Bojacá, Cundinamarca",$ 204.856.320,N/A,30.016 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:06,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-171f-bd18f1093bfd-1910995-8a88-78a9,Lote en venta en Bojacá,"Bojacá, Cundinamarca",$ 201.600.000,N/A,30.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:06,,Lote/Terreno,,,,,,,
